blockLot,fullAddress,neighborhood,councilDistrict,policeDistrict,Location 1,noticeDate
0095 063,1924 HARLEM AVE,MIDTOWN-EDMONDSON,9,WESTERN,"(39.2965594555, -76.6481297513)",01/01/42913
3327G019,3817 PALL MALL ROAD,GREENSPRING,6,NORTHERN,"(39.3336327074, -76.6587991142)",01/01/71610
4114F013,2535 GARRETT AVE,COLDSTREAM HOMESTEAD MONTEBELLO,14,NORTHEASTERN,"(39.3190794308, -76.5982256191)",01/01/50508
1542 074,1220 N POTOMAC ST,BEREA,13,EASTERN,"(39.3055490385, -76.5758701023)",01/01/51812
0204 016,2243 W BALTIMORE ST,BOYD-BOOTH,9,SOUTHWESTERN,"(39.2877125934, -76.6526499035)",01/01/20711
5158A028,616 GLENWOOD AVE,WOODBOURNE-MCCABE,4,NORTHERN,"(39.3538697719, -76.6069537023)",01/01/91914
1125 029,1530 N CAROLINE ST,OLIVER,12,EASTERN,"(39.3080992155, -76.5984943138)",01/01/11713
4552 103,3407 PATON AVE,ARLINGTON,5,NORTHWESTERN,"(39.3486609562, -76.677638253)",01/01/112114
3176 004,3732 REISTERSTOWN ROAD,PARK CIRCLE,6,NORTHWESTERN,"(39.3309968652, -76.6622979118)",01/01/92308
2163 014,118 N WHEELER AVE,PENROSE/FAYETTE STREET OUTREACH,9,WESTERN,"(39.2896709608, -76.6546779179)",01/01/73101
0118 011,521 N PULASKI ST,MIDTOWN-EDMONDSON,9,WESTERN,"(39.2941992881, -76.6501658076)",01/01/11907
0309 011,2118 MCCULLOH ST,DRUID HEIGHTS,7,CENTRAL,"(39.3090749613, -76.6363164046)",01/01/71514
0249 034,1243 W LOMBARD ST,HOLLINS MARKET,9,SOUTHERN,"(39.2863713236, -76.6377799261)",01/01/120914
0280 010,318 S CALHOUN ST,NEW SOUTHWEST/MOUNT CLARE,9,SOUTHERN,"(39.2840659256, -76.6395374414)",01/01/82407
0037 017,1327 N CAREY ST,SANDTOWN-WINCHESTER,7,WESTERN,"(39.3041814435, -76.6387239212)",01/01/10815
0113 023,1205 HARLEM AVE,HARLEM PARK,9,WESTERN,"(39.2965032441, -76.6377089514)",01/01/31512
3206 023,1907 N PULASKI ST,MONDAWMIN,7,WESTERN,"(39.3101793527, -76.6510887738)",01/01/31014
6155 007,512 N EAST AVE,ELLWOOD PARK/MONUMENT,13,SOUTHEASTERN,"(39.297459986, -76.5723929213)",01/01/12015
3400 033,1732 W NORTH AVE,PENN NORTH,7,WESTERN,"(39.3101559376, -76.6459326417)",01/01/70610
1484 055,2316 E OLIVER ST,BROADWAY EAST,13,EASTERN,"(39.3080544922, -76.5847857746)",01/01/110510
0107 022,1917 HARLEM AVE,MIDTOWN-EDMONDSON,9,WESTERN,"(39.2961566771, -76.647944106)",01/01/20309
3803 023,325 E 20TH ST,BARCLAY,12,EASTERN,"(39.3121961153, -76.6115885555)",01/01/91406
7841L024,2137 PARKSLEY AVE,MORRELL PARK,10,SOUTHWESTERN,"(39.2634509229, -76.6496036534)",01/01/31415
4095 007,914 MONTPELIER ST,BETTER WAVERLY,14,NORTHERN,"(39.3250943437, -76.6044695019)",01/01/50108
4218R026,3607 FALLSTAFF ROAD,FALLSTAFF,5,NORTHWESTERN,"(39.3638150889, -76.7034206461)",01/01/32715
0372 008,701 MOSHER ST,UPTON,11,CENTRAL,"(39.3003479717, -76.6344738734)",01/01/120310
0075 032,920 N STRICKER ST,SANDTOWN-WINCHESTER,9,WESTERN,"(39.299505308, -76.6418315501)",01/01/110804
0107 043,617 N PAYSON ST,MIDTOWN-EDMONDSON,9,WESTERN,"(39.2957962602, -76.648817029)",01/01/110305
7441A007,2243 SIDNEY AVE,WESTPORT,10,SOUTHERN,"(39.2630996758, -76.6326448202)",01/01/71006
0120 027,1809 EDMONDSON AVE,HARLEM PARK,9,WESTERN,"(39.2949876404, -76.6461987681)",01/01/100611
0272 019,2137 MCHENRY ST,CARROLLTON RIDGE,9,SOUTHWESTERN,"(39.2839052218, -76.6507436137)",01/01/11212
1568 096,1027 N CASTLE ST,MIDDLE EAST,13,EASTERN,"(39.3028821174, -76.5887692038)",01/01/50305
0162 094,1905 W SARATOGA ST,PENROSE/FAYETTE STREET OUTREACH,9,WESTERN,"(39.2917556936, -76.6477014316)",01/01/122408
7116 055,834 JACK ST,BROOKLYN,10,SOUTHERN,"(39.2315785202, -76.5997389495)",01/01/60205
2141 020,2657 LEHMAN ST,MILLHILL,9,SOUTHWESTERN,"(39.2800879562, -76.6583944889)",01/01/121214
1522 085,2611 GROGAN AVE,BEREA,13,EASTERN,"(39.3062967842, -76.5807037269)",01/01/101910
4607 025,3508 WOODLAND AVE,CENTRAL PARK HEIGHTS,6,NORTHWESTERN,"(39.3421895399, -76.6737142665)",01/01/31306
0121 060,1718 W FRANKLIN ST,HARLEM PARK,9,WESTERN,"(39.2941197632, -76.6446575148)",01/01/20613
0205 058,6 S PULASKI ST,BOYD-BOOTH,9,SOUTHWESTERN,"(39.2876144733, -76.650271735)",01/01/62106
3212 037,2027 N SMALLWOOD ST,MONDAWMIN,7,WESTERN,"(39.3116320121, -76.6525811883)",01/01/32114
0114 056,628 N ARLINGTON AVE,HARLEM PARK,9,WESTERN,"(39.2963030474, -76.6359821066)",01/01/21512
4002 020,1910 OAK HILL AVE,EAST BALTIMORE MIDWAY,12,EASTERN,"(39.3122293113, -76.6064545044)",01/01/60513
3175A029,2814 KEYWORTH AVE,TOWANDA-GRANTLEY,6,NORTHWESTERN,"(39.3324675429, -76.6640799507)",01/01/30912
0118 109,534 N BRICE ST,MIDTOWN-EDMONDSON,9,WESTERN,"(39.2946210333, -76.6499183881)",01/01/31114
3347C034,2607 LOYOLA SOUTHWAY,GREENSPRING,6,NORTHERN,"(39.3370610736, -76.6609671014)",01/01/50213
7649A001,601 CHERATON ROAD,CHERRY HILL,10,SOUTHERN,"(39.2517685737, -76.6230715781)",01/01/91010
0008 017,1732 N FULTON AVE,SANDTOWN-WINCHESTER,7,WESTERN,"(39.3086478292, -76.6466738248)",01/01/81911
3301 134,3403 SAINT AMBROSE AVE,CENTRAL PARK HEIGHTS,6,NORTHWESTERN,"(39.3413222276, -76.670778356)",01/01/80114
0703 009,2017 WILKENS AVE,CARROLLTON RIDGE,9,SOUTHERN,"(39.281249308, -76.6481465836)",01/01/42613
3322 004,3806 PARK HEIGHTS AVE,PARK CIRCLE,6,NORTHWESTERN,"(39.3321274712, -76.6613828263)",01/01/12012
0274 103,1905 WILHELM ST,CARROLLTON RIDGE,9,SOUTHERN,"(39.2835273591, -76.6472378359)",01/01/72612
0194 068,17 N BRUCE ST,FRANKLIN SQUARE,9,WESTERN,"(39.2887456508, -76.6443993844)",01/01/10611
1627 073,718 N BELNORD AVE,MADISON-EASTEND,13,EASTERN,"(39.2996044925, -76.5789943495)",01/01/102307
1117 015,1631 N CAROLINE ST,OLIVER,12,EASTERN,"(39.3091522987, -76.5980052644)",01/01/70907
1112 036,1614 HOLBROOK ST,OLIVER,12,EASTERN,"(39.3085519802, -76.6034549006)",01/01/40212
3347 005,2468 SHIRLEY AVE,GREENSPRING,6,NORTHERN,"(39.3361192488, -76.659225075)",01/01/32708
0263 015,205 S GILMOR ST,NEW SOUTHWEST/MOUNT CLARE,9,SOUTHERN,"(39.2851903375, -76.6419265138)",01/01/61710
1477 071,1716 E OLIVER ST,BROADWAY EAST,12,EASTERN,"(39.3077096212, -76.5936791201)",01/01/11008
2218 037,2852 W MULBERRY ST,PENROSE/FAYETTE STREET OUTREACH,9,SOUTHWESTERN,"(39.2927745138, -76.6639311316)",01/01/90607
2243C036A,55 S MORLEY ST,SAINT JOSEPHS,8,SOUTHWESTERN,"(39.2854849963, -76.6750227642)",01/01/20614
1468 072,1616 N CHAPEL ST,BROADWAY EAST,12,EASTERN,"(39.3092790479, -76.5910552399)",01/01/92707
4171 087,1949 PERLMAN PL,SOUTH CLIFTON PARK,12,EASTERN,"(39.3136890841, -76.5866541822)",01/01/121808
1126 059,1538 N BOND ST,OLIVER,12,EASTERN,"(39.3082834671, -76.5970825275)",01/01/10714
0064 053,1010 N CAREY ST,SANDTOWN-WINCHESTER,9,WESTERN,"(39.3006341081, -76.6390729781)",01/01/32515
1111 095,445 E LANVALE ST,GREENMOUNT WEST,12,EASTERN,"(39.3088340084, -76.6094338309)",01/01/22515
0078 027,1221 MOSHER ST,SANDTOWN-WINCHESTER,9,WESTERN,"(39.299882919, -76.6382093779)",01/01/100711
1109 084,1716 N BETHEL ST,OLIVER,12,EASTERN,"(39.3101349983, -76.5962215816)",01/01/70710
2213B026L,2604 LAURETTA AVE,ROSEMONT HOMEOWNERS/TENANTS,9,WESTERN,"(39.2940716778, -76.6596127193)",01/01/71514
4620 061,3417 WOODLAND AVE,CENTRAL PARK HEIGHTS,6,NORTHWESTERN,"(39.3422853859, -76.6729692054)",01/01/82313
0055B027,1152 N CAREY ST,SANDTOWN-WINCHESTER,9,WESTERN,"(39.3022601863, -76.6391469556)",01/01/42412
0291 033,405 S MONROE ST,CARROLLTON RIDGE,9,SOUTHERN,"(39.2829697747, -76.646434564)",01/01/42314
6343 021,421 ELRINO ST,BAYVIEW,1,SOUTHEASTERN,"(39.2885327406, -76.5425993545)",01/01/121313
3183 022,2821 QUANTICO AVE,TOWANDA-GRANTLEY,6,NORTHWESTERN,"(39.3354959896, -76.666558085)",01/01/82214
3003 086,3000 HERBERT ST,WALBROOK,7,SOUTHWESTERN,"(39.3097056755, -76.6681117826)",01/01/52908
4171 022,2242 E NORTH AVE,SOUTH CLIFTON PARK,12,EASTERN,"(39.3127596053, -76.5862846485)",01/01/120211
0469 015,831 EDMONDSON AVE,UPTON,11,CENTRAL,"(39.2958968781, -76.6319415364)",01/01/102408
3230 029,2800 AUCHENTOROLY TERR,PARKVIEW/WOODBROOK,7,WESTERN,"(39.3155104307, -76.6450833749)",01/01/71706
0055D044,1127 N CARROLLTON AVE,SANDTOWN-WINCHESTER,9,WESTERN,"(39.3018186038, -76.6371972751)",01/01/122608
1549 055,1114 N WOLFE ST,MIDDLE EAST,12,EASTERN,"(39.3039964544, -76.5914730309)",01/01/72312
1109 086,1720 N BETHEL ST,OLIVER,12,EASTERN,"(39.3102005066, -76.5962257574)",01/01/120204
0112 002,602 N CAREY ST,HARLEM PARK,9,WESTERN,"(39.2956078722, -76.6387910383)",01/01/32312
4603 019,4976 EDGEMERE AVE,CENTRAL PARK HEIGHTS,6,NORTHWESTERN,"(39.345303486, -76.6755957894)",01/01/20210
0250 009,1116 W PRATT ST,HOLLINS MARKET,9,SOUTHERN,"(39.2858997863, -76.6356112114)",01/01/121506
2109 089,2529 CHRISTIAN ST,MILLHILL,9,SOUTHWESTERN,"(39.2796275066, -76.6554900365)",01/01/112807
0711 029,1848 EAGLE ST,CARROLLTON RIDGE,9,SOUTHERN,"(39.281219339, -76.6459881892)",01/01/110305
4070A045,533 E 27TH ST,BETTER WAVERLY,14,NORTHERN,"(39.3207040567, -76.6080221997)",01/01/12910
4092 016,2938 INDEPENDENCE ST,BETTER WAVERLY,14,NORTHERN,"(39.3240744216, -76.6038976694)",01/01/22415
1102 035,1626 E LAFAYETTE AVE,OLIVER,12,EASTERN,"(39.3108139338, -76.5957110305)",01/01/62408
5216 019,4739 ALHAMBRA AVE,WRENLANE,4,NORTHERN,"(39.3457439226, -76.6069044009)",01/01/91708
3165 009,3720 TOWANDA AVE,PARK CIRCLE,6,NORTHWESTERN,"(39.3302783087, -76.6630584776)",01/01/60812
1670 033,448 N PATTERSON PARK AVE,CARE,13,EASTERN,"(39.296437115, -76.5852480436)",01/01/12214
3210 001,1900 WALBROOK AVE,MONDAWMIN,7,WESTERN,"(39.3110560717, -76.6483870583)",01/01/101014
0576 015,317 N PACA ST,DOWNTOWN,11,CENTRAL,"(39.2932974121, -76.6221367853)",01/01/11714
3207 062,1912 N MONROE ST,MONDAWMIN,7,WESTERN,"(39.3104868845, -76.6484597844)",01/01/100407
1521 061,1323 N MILTON AVE,BEREA,13,EASTERN,"(39.3065962899, -76.5825407659)",01/01/40109
3342A081,2460 KEYWORTH AVE,GREENSPRING,6,NORTHERN,"(39.3351477119, -76.6589710867)",01/01/62811
0176 020A,2040 W FAYETTE ST,PENROSE/FAYETTE STREET OUTREACH,9,WESTERN,"(39.2895299733, -76.6499414412)",01/01/112006
0699 067,1918 CHRISTIAN ST,CARROLLTON RIDGE,9,SOUTHERN,"(39.2826482856, -76.6474086806)",01/01/50208
3207 003,1904 W NORTH AVE,MONDAWMIN,7,WESTERN,"(39.3100288359, -76.6484097178)",01/01/111513
0104 039,928 HARLEM AVE,HARLEM PARK,9,WESTERN,"(39.2970770282, -76.6343425212)",01/01/40908
1611 053,812 N BELNORD AVE,MADISON-EASTEND,13,EASTERN,"(39.3005514864, -76.5790539192)",01/01/120205
1604 029,2013 ASHLAND AVE,MIDDLE EAST,13,EASTERN,"(39.3005140361, -76.5889418446)",01/01/31209
5733D158,4714 DUNCREST AVE,CEDMONT,2,NORTHEASTERN,"(39.342847981, -76.5333234084)",01/01/11615
1591 066,2410 ASHLAND AVE,MILTON-MONTFORD,13,EASTERN,"(39.3011029754, -76.5834781722)",01/01/12215
4543A010,5219 LINDEN HEIGHTS AVE,WOODMERE,5,NORTHWESTERN,"(39.3444415306, -76.6837463885)",01/01/82313
0009 022,1725 WESTWOOD AVE,SANDTOWN-WINCHESTER,7,WESTERN,"(39.3086645633, -76.6457370654)",01/01/51512
1138 105,1406 N BETHEL ST,OLIVER,12,EASTERN,"(39.3066604463, -76.596180202)",01/01/110705
2817 026,2151 MOUNT HOLLY ST,MOUNT HOLLY,7,SOUTHWESTERN,"(39.3122783833, -76.6816026543)",01/01/52705
0620 050,104 PARK AVE,DOWNTOWN,11,CENTRAL,"(39.2908206669, -76.6181748175)",01/01/111912
0096 083,1823 RAYNER AVE,HARLEM PARK,9,WESTERN,"(39.2968321361, -76.6468418154)",01/01/40912
1606 046,814 N PATTERSON PARK AVE,MIDDLE EAST,13,EASTERN,"(39.300158972, -76.5854802507)",01/01/81210
0175 046,2112 VINE ST,PENROSE/FAYETTE STREET OUTREACH,9,WESTERN,"(39.2900407549, -76.6505814186)",01/01/110311
2332C011,1421 POPLAR GROVE ST,NORTHWEST COMMUNITY ACTION,9,SOUTHWESTERN,"(39.3042026498, -76.6651613385)",01/01/122413
3211 066,2002 N PAYSON ST,MONDAWMIN,7,WESTERN,"(39.3111672451, -76.6502269439)",01/01/101310
7139A032,3826 10TH ST,BROOKLYN,10,SOUTHERN,"(39.2317161841, -76.5974135089)",01/01/100711
1449 016,2030 E LAFAYETTE AVE,BROADWAY EAST,12,EASTERN,"(39.3110615703, -76.5895260697)",01/01/32410
0373 008,1414 ARGYLE AVE,UPTON,11,CENTRAL,"(39.3006372365, -76.6332137799)",01/01/41306
0289 055,2118 ASHTON ST,CARROLLTON RIDGE,9,SOUTHWESTERN,"(39.2823222525, -76.6505437448)",01/01/82610
1621 036,718 N COLLINGTON AVE,MIDDLE EAST,13,EASTERN,"(39.2993763206, -76.5869452064)",01/01/52010
0274 097,1917 WILHELM ST,CARROLLTON RIDGE,9,SOUTHERN,"(39.2835187666, -76.647482337)",01/01/102610
3004 029A,1903 N LONGWOOD ST,WALBROOK,7,SOUTHWESTERN,"(39.3095608745, -76.6673117482)",01/01/91213
4178 015,3115 RAVENWOOD AVE,FOUR BY FOUR,13,NORTHEASTERN,"(39.3151360633, -76.580039386)",01/01/102811
0720 034,1817 EAGLE ST,CARROLLTON RIDGE,9,SOUTHERN,"(39.2808585928, -76.6454860026)",01/01/50510
2407 038F,2906 WESTWOOD AVE,NORTHWEST COMMUNITY ACTION,7,SOUTHWESTERN,"(39.3083381987, -76.6664084071)",01/01/32609
0272 047,2118 RAMSAY ST,CARROLLTON RIDGE,9,SOUTHWESTERN,"(39.2831473445, -76.6505924337)",01/01/42010
1164B029,1121 N BOND ST,GAY STREET,12,EASTERN,"(39.3038691212, -76.5962837384)",01/01/81711
0856A008,614 SCOTT ST,WASHINGTON VILLAGE/PIGTOWN,10,SOUTHERN,"(39.2817440117, -76.6290237115)",01/01/13014
0121 004,518 N MOUNT ST,HARLEM PARK,9,WESTERN,"(39.2943794645, -76.6443724256)",01/01/111907
3023 039,2910 CLIFTON AVE,WALBROOK,7,SOUTHWESTERN,"(39.3115773768, -76.666331502)",01/01/12414
3204 018,2234 W NORTH AVE,MONDAWMIN,7,WESTERN,"(39.3099072587, -76.653854962)",01/01/20614
0094 037,2029 RAYNER AVE,MIDTOWN-EDMONDSON,9,WESTERN,"(39.2967016587, -76.6502876321)",01/01/121412
3804 025,1903 BARCLAY ST,BARCLAY,12,EASTERN,"(39.3118580223, -76.610686908)",01/01/92514
0272 003,2105 MCHENRY ST,CARROLLTON RIDGE,9,SOUTHWESTERN,"(39.2839362019, -76.6500669582)",01/01/51007
0779 001,1201 WASHINGTON BLVD,WASHINGTON VILLAGE/PIGTOWN,10,SOUTHERN,"(39.2815275487, -76.6339317989)",01/01/112913
2360 050,2409 W LANVALE ST,EVERGREEN LAWN,9,WESTERN,"(39.2967454138, -76.6553792488)",01/01/121614
0791 039,1174 NANTICOKE ST,WASHINGTON VILLAGE/PIGTOWN,10,SOUTHERN,"(39.2804239602, -76.6317237462)",01/01/42414
0055B080,1302 RIGGS AVE,SANDTOWN-WINCHESTER,9,WESTERN,"(39.3013452475, -76.6392937448)",01/01/111004
0147 066,312 N MONROE ST,PENROSE/FAYETTE STREET OUTREACH,9,WESTERN,"(39.2923272536, -76.6474186268)",01/01/62207
1169 069,1128 PROCTOR ST,JOHNSTON SQUARE,12,EASTERN,"(39.3034583547, -76.6073209066)",01/01/20615
3954 024,1719 E 30TH ST,COLDSTREAM HOMESTEAD MONTEBELLO,14,NORTHEASTERN,"(39.3251337871, -76.5913175152)",01/01/90210
0037A028,1356 N FREMONT AVE,SANDTOWN-WINCHESTER,7,WESTERN,"(39.3047671882, -76.6378887079)",01/01/61009
0110 006,610 N GILMOR ST,HARLEM PARK,9,WESTERN,"(39.2956678667, -76.6431621887)",01/01/30309
3417 109,2437 DRUID HILL AVE,PENN NORTH,7,WESTERN,"(39.3122758693, -76.6398201287)",01/01/121108
3244 031,2237 OREM AVE,PARKVIEW/WOODBROOK,7,WESTERN,"(39.3157835521, -76.6475558814)",01/01/112814
0169 017,1215 W SARATOGA ST,POPPLETON,9,WESTERN,"(39.2920214079, -76.6374404282)",01/01/41306
1607 033,2319 ASHLAND AVE,MILTON-MONTFORD,13,EASTERN,"(39.3007067315, -76.5842822922)",01/01/110804
0015 004,1607 N FULTON AVE,SANDTOWN-WINCHESTER,7,WESTERN,"(39.3069043569, -76.6459522954)",01/01/10813
1504 012,2403 E OLIVER ST,BROADWAY EAST,13,EASTERN,"(39.3077068591, -76.5840706653)",01/01/30806
0164 001,243 N FULTON AVE,FRANKLIN SQUARE,9,WESTERN,"(39.2919589854, -76.6451376494)",01/01/10810
1446 021,1745 E NORTH AVE,BROADWAY EAST,12,EASTERN,"(39.3119255232, -76.5938303172)",01/01/11315
1496 027,1424 N GAY ST,BROADWAY EAST,12,EASTERN,"(39.3070634673, -76.5909036407)",01/01/21209
4132 013,1542 CARSWELL ST,COLDSTREAM HOMESTEAD MONTEBELLO,14,NORTHEASTERN,"(39.3229977965, -76.595665877)",01/01/70808
0431 018,1116 ARGYLE AVE,UPTON,11,CENTRAL,"(39.2980642944, -76.6300267034)",01/01/110404
3039 013,3208 ELGIN AVE,WALBROOK,7,SOUTHWESTERN,"(39.3135025308, -76.6721045737)",01/01/31006
1095 041,1806 BARCLAY ST,GREENMOUNT WEST,12,EASTERN,"(39.3104865048, -76.6111366296)",01/01/110504
0175 037,2130 VINE ST,PENROSE/FAYETTE STREET OUTREACH,9,WESTERN,"(39.2900283065, -76.6509644358)",01/01/40811
1164B030,1123 N BOND ST,GAY STREET,12,EASTERN,"(39.3039067345, -76.5962862187)",01/01/122012
4123 007,1717 GORSUCH AVE,COLDSTREAM HOMESTEAD MONTEBELLO,14,NORTHEASTERN,"(39.320535395, -76.5939819345)",01/01/61914
3239 018,3405 WOODBROOK AVE,PARKVIEW/WOODBROOK,7,WESTERN,"(39.3180577007, -76.6501972136)",01/01/111705
4120 039,1621 HOMESTEAD ST,COLDSTREAM HOMESTEAD MONTEBELLO,14,NORTHEASTERN,"(39.3207914092, -76.5958176622)",01/01/11312
0110 033,623 N MOUNT ST,HARLEM PARK,9,WESTERN,"(39.2960238768, -76.6439047334)",01/01/111407
3210 006,1910 WALBROOK AVE,MONDAWMIN,7,WESTERN,"(39.3110465323, -76.6486486365)",01/01/100207
2475C016,902 N FRANKLINTOWN ROAD,FRANKLINTOWN ROAD,9,SOUTHWESTERN,"(39.2974625286, -76.6675322328)",01/01/102607
2230G043,44 N ABINGTON AVE,CARROLL-SOUTH HILTON,9,SOUTHWESTERN,"(39.2868369469, -76.6713618205)",01/01/21208
1542 015,1229 N LINWOOD AVE,BEREA,13,EASTERN,"(39.3056834011, -76.5768117588)",01/01/71411
4010G003,2223 AISQUITH ST,EAST BALTIMORE MIDWAY,12,EASTERN,"(39.3147862927, -76.6003869578)",01/01/20515
3935 080,1607 E 28TH ST,COLDSTREAM HOMESTEAD MONTEBELLO,14,NORTHEASTERN,"(39.3236500268, -76.592443105)",01/01/102414
0768 137,1243 SARGEANT ST,WASHINGTON VILLAGE/PIGTOWN,10,SOUTHERN,"(39.2814880744, -76.6350186473)",01/01/20808
0303 079,2229 ETTING ST,DRUID HEIGHTS,7,CENTRAL,"(39.3093207215, -76.6383914156)",01/01/82505
2110 008,2543 ASHTON ST,MILLHILL,9,SOUTHWESTERN,"(39.2799951961, -76.6561231603)",01/01/81912
2404 023,1638 BRADDISH AVE,COPPIN HEIGHTS/ASH-CO-EAST,7,WESTERN,"(39.3069565118, -76.6612530651)",01/01/21815
4543A025,5234 SAINT CHARLES AVE,WOODMERE,5,NORTHWESTERN,"(39.3447791004, -76.6837100609)",01/01/22514
0185 027,1052 W FAYETTE ST,POPPLETON,9,WESTERN,"(39.2900827694, -76.6354076969)",01/01/110504
2348 023,2344 EDMONDSON AVE,ROSEMONT HOMEOWNERS/TENANTS,9,WESTERN,"(39.2950504692, -76.6546533576)",01/01/83111
1455 005,1603 N MILTON AVE,BEREA,13,EASTERN,"(39.3091644863, -76.5825901526)",01/01/82107
4544B008,5261 CORDELIA AVE,ARLINGTON,5,NORTHWESTERN,"(39.3467584356, -76.6823384497)",01/01/110207
8300 002,4300 LIBERTY HEIGHTS AVE,DORCHESTER,5,NORTHWESTERN,"(39.3299805233, -76.6898841275)",01/01/70313
1446 017,1737 E NORTH AVE,BROADWAY EAST,12,EASTERN,"(39.3119169313, -76.594047838)",01/01/121608
5212 001B,4513 YORK ROAD,WILSON PARK,4,NORTHERN,"(39.3438570168, -76.6089156353)",01/01/32814
1467 083,1619 N DURHAM ST,BROADWAY EAST,12,EASTERN,"(39.3092518821, -76.5920620448)",01/01/22615
2174A032,138 WILLARD ST,SHIPLEY HILL,9,SOUTHWESTERN,"(39.2848353335, -76.6551090663)",01/01/61308
2332D025,2933 PRESSTMAN ST,ROSEMONT,9,SOUTHWESTERN,"(39.3043267282, -76.6670529507)",01/01/20615
4502 142,4219 W ROGERS AVE,WOODMERE,5,NORTHWESTERN,"(39.3459678744, -76.6916955378)",01/01/20615
3347F019,2636 PARK HEIGHTS TERR,GREENSPRING,6,NORTHERN,"(39.3384046972, -76.6628410121)",01/01/62108
3936 049,2771 TIVOLY AVE,COLDSTREAM HOMESTEAD MONTEBELLO,14,NORTHEASTERN,"(39.3233396942, -76.5914146573)",01/01/20910
2446B017,1004 POPLAR GROVE ST,FRANKLINTOWN ROAD,9,SOUTHWESTERN,"(39.2993819711, -76.6655133818)",01/01/21811
3057 005,3416 GWYNNS FALLS PKWY,HANLON-LONGWOOD,7,NORTHWESTERN,"(39.3144919021, -76.6756165746)",01/01/20714
4071 041,532 E 27TH ST,BETTER WAVERLY,14,NORTHERN,"(39.3210617848, -76.6080626744)",01/01/42308
2141 042,2646 DULANY ST,MILLHILL,9,SOUTHWESTERN,"(39.2801425713, -76.6577376258)",01/01/102513
3347C058,2655 LOYOLA SOUTHWAY,GREENSPRING,6,NORTHERN,"(39.3365935629, -76.6625058063)",01/01/61108
1593 038,2620 ASHLAND AVE,MADISON-EASTEND,13,EASTERN,"(39.3012263824, -76.5804137797)",01/01/82306
1659 082,515 N STREEPER ST,MCELDERRY PARK,13,SOUTHEASTERN,"(39.2974896222, -76.5770591671)",01/01/110311
1690 085,216 N PORT ST,PATTERSON PLACE,13,SOUTHEASTERN,"(39.294937859, -76.5829455758)",01/01/82609
4132 009,1534 CARSWELL ST,COLDSTREAM HOMESTEAD MONTEBELLO,14,NORTHEASTERN,"(39.3230971275, -76.5958229034)",01/01/101907
3182 001,2809 GRANTLEY AVE,TOWANDA-GRANTLEY,6,NORTHWESTERN,"(39.3371626553, -76.6673890914)",01/01/80813
7118 020,916 STOLL ST,BROOKLYN,10,SOUTHERN,"(39.2306632166, -76.5991801604)",01/01/120908
0263 038,1512 MCHENRY ST,NEW SOUTHWEST/MOUNT CLARE,9,SOUTHERN,"(39.2846274143, -76.6413881491)",01/01/42313
3203 055,1920 N BENTALOU ST,MONDAWMIN,7,WESTERN,"(39.3105270385, -76.6543989325)",01/01/110209
3238 010,3504 WOODBROOK AVE,PARKVIEW/WOODBROOK,7,WESTERN,"(39.3181694137, -76.6511539139)",01/01/30510
3461 033B,2450 LAKEVIEW AVE,RESERVOIR HILL,7,CENTRAL,"(39.3159840893, -76.6329699804)",01/01/72309
0649 006,107 E BALTIMORE ST,DOWNTOWN,11,CENTRAL,"(39.2894172545, -76.6132662598)",01/01/102408
0699 031,421 S PAYSON ST,CARROLLTON RIDGE,9,SOUTHERN,"(39.2824729255, -76.647964562)",01/01/110805
1513 040,1742 E PRESTON ST,BROADWAY EAST,12,EASTERN,"(39.305605369, -76.5930766418)",01/01/71614
2123B035,554 S LONGWOOD ST,GWYNNS FALLS,10,SOUTHWESTERN,"(39.2778868839, -76.6668242126)",01/01/71814
0273 043,323 S PULASKI ST,CARROLLTON RIDGE,9,SOUTHERN,"(39.283323949, -76.6495428057)",01/01/71807
0014 012,1622 N FULTON AVE,SANDTOWN-WINCHESTER,7,WESTERN,"(39.3071830299, -76.6465966649)",01/01/22808
3442 027,1907 PARK AVE,RESERVOIR HILL,7,CENTRAL,"(39.3120635908, -76.6277981935)",01/01/100313
1754 001,201 S ANN ST,UPPER FELLS POINT,1,SOUTHEASTERN,"(39.2892289605, -76.5913924554)",01/01/22415
7480 022,2607 PIERPONT ST,MOUNT WINANS,10,SOUTHERN,"(39.2599170344, -76.643444427)",01/01/22714
4586 007,3024 SPAULDING AVE,CENTRAL PARK HEIGHTS,6,NORTHWESTERN,"(39.3496774883, -76.6729961687)",01/01/10614
3403 032,2207 N FULTON AVE,PENN NORTH,7,WESTERN,"(39.3134383763, -76.6457179629)",01/01/80109
0107 073,1904 EDMONDSON AVE,MIDTOWN-EDMONDSON,9,WESTERN,"(39.2953462376, -76.6475744525)",01/01/80106
0258 039,2006 MCHENRY ST,CARROLLTON RIDGE,9,SOUTHERN,"(39.2843441174, -76.649026805)",01/01/20815
3347F036,2621 LOYOLA NORTHWAY,GREENSPRING,6,NORTHERN,"(39.3389791795, -76.6625258198)",01/01/41210
0235 052,1010 W LOMBARD ST,HOLLINS MARKET,9,SOUTHERN,"(39.286929295, -76.6340639038)",01/01/71609
0397 015,1307 DRUID HILL AVE,UPTON,11,CENTRAL,"(39.3023087733, -76.6285606826)",01/01/32707
0174 012,2223 W LEXINGTON ST,PENROSE/FAYETTE STREET OUTREACH,9,WESTERN,"(39.2901938869, -76.652291007)",01/01/103114
