TAG,LAST_ORG,CAPTURE_ME,LAST_USER,EDIT_DATE,BLOCKNUM,PARCELNUM,PIN,CNTGRAPH,BLOCKLOT,SUBTYPE_GE,SHAPE_Leng,SHAPE_Area,FULLADDR,STDIRPRE,ST_NAME,ST_TYPE,BLDG_NO,UNIT_NUM,area
600000000031447,100,BLK,,"PyQt4.QtCore.QDate(1997, 3, 18)",5691,085,5691085,85,5691 085,1,516.918640009,15406.6174511,0,,,,0,,1435.13815
600000000046188,100,BLK,,"PyQt4.QtCore.QDate(1997, 3, 18)",4607,034,4607034,34/40,4607 034,1,662.690786419,26741.0208019,4701 REISTERSTOWN ROAD,,REISTERSTOWN,ROAD,4701,,2490.98861
600000000102917,100,BLK,,"PyQt4.QtCore.QDate(1997, 3, 18)",4175,051,4175051,51,4175 051,1,112.602000906,666.536144233,2332 E NORTH AVE,E,NORTH,AVE,2332,,62.1413066
600000000210573,120,BLK,,"PyQt4.QtCore.QDate(2001, 7, 17)",7805F,002,7805F002,2,7805F002,1,172.21028512,1184.46169038,0,,,,0,,110.387229
600000000143254,100,BLK,,"PyQt4.QtCore.QDate(1997, 3, 18)",0085,051,0085051,51,0085 051,1,150.459006485,804.118032305,1710 W LANVALE ST,W,LANVALE,ST,1710,,74.8033518
600000000100710,100,BLK,,"PyQt4.QtCore.QDate(1997, 3, 18)",6220,011,6220011,11/12,6220 011,1,622.489696562,19868.185376,7219 HILLTOP AVE,,HILLTOP,AVE,7219,,1850.72099
600000000103677,100,BLK,,"PyQt4.QtCore.QDate(1997, 3, 18)",3404,038,3404038,38,3404 038,1,200.609702529,1300.60806982,2673 PENNSYLVANIA AVE,,PENNSYLVANIA,AVE,2673,,121.160988
600000000137012,100,BLK,,"PyQt4.QtCore.QDate(1997, 3, 18)",0061,052,0061052,52,0061 052,1,196.233733841,1321.74016134,1001 N MOUNT ST,N,MOUNT,ST,1001,,122.867624
600000000212926,100,BLK,,"PyQt4.QtCore.QDate(1997, 3, 18)",7765,016,7765016,16,7765 016,1,368.462618922,7126.24848712,0,,,,0,,663.864196
600000000127540,100,BLK,,"PyQt4.QtCore.QDate(1997, 3, 18)",1576,003D,1576003D,3D,1576 003D,1,169.998194479,1050.23681827,2809 E CHASE ST,E,CHASE,ST,2809,,97.8374732
600000000184190,100,BLK,,"PyQt4.QtCore.QDate(1997, 3, 18)",0239,053,0239053,53,0239 053,1,276.832438582,2376.77370521,2231 W PRATT ST,W,PRATT,ST,2231,,221.481705
600000000128659,100,BLK,,"PyQt4.QtCore.QDate(1997, 3, 18)",1166,033,1166033,33,1166 033,1,198.066831615,1262.56186107,1114 BRENTWOOD AVE,,BRENTWOOD,AVE,1114,,117.549721
600000000115115,100,BLK,,"PyQt4.QtCore.QDate(1997, 3, 18)",6235B,002,6235B002,2,6235B002,1,162.753322819,1244.16514471,1214 62ND ST,,62ND,ST,1214,,115.902736
600000000113233,100,BLK,,"PyQt4.QtCore.QDate(1997, 3, 18)",1111,115,1111115,115,1111 115,1,159.602930271,946.500651113,405 E LANVALE ST,E,LANVALE,ST,405,,88.1380084
600000000117555,100,BLK,,"PyQt4.QtCore.QDate(1997, 3, 18)",1121,044,1121044,44,1121 044,1,155.998589626,845.076664682,1515 ENSOR ST,,ENSOR,ST,1515,,78.8105781
600000000144067,100,BLK,,"PyQt4.QtCore.QDate(1997, 3, 18)",0499,099,0499099,99,0499 099,1,73.1281731655,236.578357596,507 ORCHARD ST,,ORCHARD,ST,507,,22.0320718
