,blockLot,fullAddress,neighborhood,councilDistrict,policeDistrict,Location 1,noticeDate,lat,long
2481,1521 039J,1326 N LUZERNE AVE,BEREA,13,EASTERN,"(39.3065700445, -76.5816173663)",01/01/10510,39.3065700445,-76.5816173663
2482,3210 063,2010 N MONROE ST,MONDAWMIN,7,WESTERN,"(39.3114549209, -76.6485064195)",01/01/102808,39.3114549209,-76.6485064195
2483,0071 052,1923 MOSHER ST,MIDTOWN-EDMONDSON,9,WESTERN,"(39.2995941529, -76.6482461913)",01/01/22306,39.2995941529,-76.6482461913
2484,0055C016,1131 N CAREY ST,SANDTOWN-WINCHESTER,9,WESTERN,"(39.3018733521, -76.6386091315)",01/01/61508,39.3018733521,-76.6386091315
2485,4006 058,1909 SAPP ST,EAST BALTIMORE MIDWAY,12,EASTERN,"(39.312359477, -76.6021581774)",01/01/121613,39.312359477,-76.6021581774
2486,3463D012,905 DRUID PARK LAKE DR,RESERVOIR HILL,7,CENTRAL,"(39.3164595993, -76.6371441095)",01/01/12808,39.3164595993,-76.6371441095
2487,6270 030,3530 E FAYETTE ST,BALTIMORE HIGHLANDS,1,SOUTHEASTERN,"(39.2951670058, -76.5679622449)",01/01/31914,39.2951670058,-76.5679622449
2488,6113 004,3606 KENYON AVE,BELAIR-EDISON,13,NORTHEASTERN,"(39.3195456216, -76.5623952558)",01/01/102612,39.3195456216,-76.5623952558
2489,7625 039,726 ROUNDVIEW ROAD,CHERRY HILL,10,SOUTHERN,"(39.2475427763, -76.621520363)",01/01/52406,39.2475427763,-76.621520363
2490,3169 020,2910 HILLDALE AVE,PARK CIRCLE,6,NORTHWESTERN,"(39.3271788545, -76.66095445)",01/01/40908,39.3271788545,-76.66095445
2491,5909 022,3201 DUDLEY AVE,BELAIR-EDISON,13,NORTHEASTERN,"(39.3239556525, -76.5663376621)",01/01/102111,39.3239556525,-76.5663376621
2492,0178 015,1829 W LEXINGTON ST,FRANKLIN SQUARE,9,WESTERN,"(39.2903000615, -76.6463382721)",01/01/80508,39.2903000615,-76.6463382721
2493,1101 010,1819 N CAROLINE ST,OLIVER,12,EASTERN,"(39.3110053352, -76.5981121909)",01/01/20408,39.3110053352,-76.5981121909
2494,1132 049,1403 HOLBROOK ST,OLIVER,12,EASTERN,"(39.3064602493, -76.6028608032)",01/01/62608,39.3064602493,-76.6028608032
2495,0014 036,1615 MCKEAN AVE,SANDTOWN-WINCHESTER,7,WESTERN,"(39.3070173162, -76.6469106066)",01/01/13114,39.3070173162,-76.6469106066
2496,1138 032,1627 E OLIVER ST,OLIVER,12,EASTERN,"(39.3072560681, -76.595576846)",01/01/22615,39.3072560681,-76.595576846
2497,0411 022,811 W LANVALE ST,UPTON,11,CENTRAL,"(39.2980280053, -76.6329120932)",01/01/61907,39.2980280053,-76.6329120932
2498,0123 033,1531 EDMONDSON AVE,HARLEM PARK,9,WESTERN,"(39.2950571966, -76.6424515138)",01/01/110504,39.2950571966,-76.6424515138
2499,1484 079,1509 N BRADFORD ST,BROADWAY EAST,13,EASTERN,"(39.308329338, -76.5848619496)",01/01/102009,39.308329338,-76.5848619496
2500,0328 104,1819 ETTING ST,DRUID HEIGHTS,11,CENTRAL,"(39.3060273948, -76.6343468052)",01/01/82307,39.3060273948,-76.6343468052
2501,0125 016,530 N CAREY ST,HARLEM PARK,9,WESTERN,"(39.2950050147, -76.6387868641)",01/01/120911,39.2950050147,-76.6387868641
2502,4018 018,2000 BOONE ST,EAST BALTIMORE MIDWAY,12,EASTERN,"(39.3129425732, -76.6087183806)",01/01/42308,39.3129425732,-76.6087183806
2503,0176 027,111 N PULASKI ST,PENROSE/FAYETTE STREET OUTREACH,9,WESTERN,"(39.2899121923, -76.649916388)",01/01/112613,39.2899121923,-76.649916388
2504,5149 025,502 TUNBRIDGE ROAD,MID-GOVANS,4,NORTHERN,"(39.3567474027, -76.6093754023)",01/01/32814,39.3567474027,-76.6093754023
